QUEST_UNUSED_20151022_001105		고사리 숲 63_3에 있는 요노움 30마리가 목표입니다.				하이랜더 서브 마스터
QUEST_UNUSED_20151022_001106		훌륭하시군요. 약속대로 양손검으로 할 수 있는 보다 상위의 기술을 가르쳐 드리죠.				하이랜더 서브 마스터
QUEST_UNUSED_20151022_001107		방패를 전투에 활용하는 법은 이제 숙달 되셨나요?{nl}그럼 본격적으로 펠타스타의 기술을 가르쳐 드리지요.				펠타스타 서브 마스터
QUEST_UNUSED_20151022_001108		물론 그 전에 상급 기술을 소화하실 수 있는지 확인하는 것이 먼저겠지요.{nl}고사리 숲 63_3에서 몬스터들을 해치우고 몬스터의 결정을 모아 주세요.{nl}마족에게선 두 개를 얻을 수 있으니 보다 적극적으로 마족녀석들을 노려주시기 바랍니다.				펠타스타 서브 마스터
QUEST_UNUSED_20151022_001109		단, 제약사항이 있습니다.{nl}첫째, 어디까지나 방패를 착용한 상태에서 얻은 결정만 인정해 드립니다.{nl}둘째, 전투 불능 상태가 되시면 모으신 결정은 모두 무효처리하겠습니다.				펠타스타 서브 마스터
QUEST_UNUSED_20151022_001110		방패를 착용한 상태에서 몬스터를 처치하시고 결정을 모으세요.{nl}이는 당신의 생존능력을 확인하기 위함입니다.{nl}참고로 마족을 잡는 쪽이 효율이 좋을 겁니다.				펠타스타 서브 마스터
QUEST_UNUSED_20151022_001111		그 정도라면 적어도 펠타스타의 이름을 대도 부끄럽지 않은 실력은 되시는 듯 하군요.{nl}축하드립니다. 약속대로 한 단계 위의 기술들을 가르쳐 드리지요.				펠타스타 서브 마스터
QUEST_UNUSED_20151022_001112		창을 가르쳐 드리는 거야 쉽습니다만, 제겐 당신의 마음가짐이 중요합니다.{nl}마침 당신같은 지원자들을 시험하기 위한 적당한 장소가 있습니다.{nl}과제는 간단합니다. 조금 귀찮을 뿐이지요.				하플라이트 마스터
QUEST_UNUSED_20151022_001113		고사리 숲 63_3에서 요노움 30마리를 처치하고 오세요.{nl}그렇다면 그 손에 창을 쥘 자격이 있음을 인정해 드리지요.{nl}제 느낌 상 당신이라면 무난하게 통과할 수 있을 겁니다.				하플라이트 마스터
QUEST_UNUSED_20151022_001114		요노움정도에 애를 먹으신다면 다른 길을 찾아 보시는 것도 나쁘지 않을 겁니다.				하플라이트 마스터
QUEST_UNUSED_20151022_001115		바바리안이 되고 싶다고? 약해빠진 이곳 사람이 과연 적응할 수 있을까?{nl}좋아. 적어도 싸움 비슷한 흉내라도 가능한지 간단한 시험을 해보겠다.{nl}우리 고향이라면 애들도 통과하겠지만 말이지. 받아보겠나?				바바리안 서브 마스터
QUEST_UNUSED_20151022_001116		전사에게 있어서 가장 중요한 덕목은 호전성이다.{nl}너 스스로나 네가 지켜야 할 것에 적의를 보이는 녀석들은 일단 공격하고 보는 것이다.{nl}고사리 숲 63_3의 요노움들이 네 사명의 방해물이다 생각하고 쓸어버리고 와봐라.				바바리안 서브 마스터
QUEST_UNUSED_20151022_001117		바바리안이 되겠다길래 조금 강단있는 녀석인가 싶었는데... 포기할 셈이냐?				바바리안 서브 마스터
QUEST_UNUSED_20151022_001118		이 곳에도 그럭저럭 쓸만한 인재는 있었군.{nl}좋아. 클라페다에 계신 월터 형님을 대신해 내가 바바리안의 기술을 전수해주마.				바바리안 서브 마스터
QUEST_UNUSED_20151022_001119		소식 들으셨나요?{nl}오르샤로 오던 피난민 중 일부가 상처를 입고 렘파라사 연못에 쓰러져 있는 것 같아요.{nl}어서 그들을 구해야 해요!				클레릭 서브 마스터
QUEST_UNUSED_20151022_001120		이것은 오르샤 특제 연고에 제가 축복을 걸어놓은 것이에요.{nl}이 연고를 사용해서 렘파라사 연못에 쓰러져 있는 피난민들을 치료해 주세요.{nl}선행을 마치시면 당신을 진정한 클레릭으로 인정해 드리겠어요.				클레릭 서브 마스터
QUEST_UNUSED_20151022_001121		마스터의 엄명만 아니었어도 제가 갔을텐데요.{nl}지금은 당신밖에 믿을 사람이 없네요.				클레릭 서브 마스터
QUEST_UNUSED_20151022_001122		그 분들께 더 큰 문제가 생기지 않아서 불행 중 다행이에요.{nl}당신께서 보여주신 헌신 덕분입니다.{nl}당신이라면 클레릭의 마지막 단계로 나아가기에 손색이 없어 보이네요.				클레릭 서브 마스터
QUEST_UNUSED_20151022_001123		당신의 신심을 여신께 고하고 그 은총을 내려받을 단계가 온 것 같군요.{nl}오르샤 주변의 여신상을 참배하고 이 봉헌품을 공양하세요.				크리비 서브 마스터
QUEST_UNUSED_20151022_001124		렘파라사 연못과 덧댄다리 숲, 그리고 파우피스 나루에 있는 여신상을 찾아가세요.{nl}세 지역의 네 여신상 모두에 공양을 마친 다음 돌아오시기 바랍니다.				크리비 서브 마스터
QUEST_UNUSED_20151022_001125		그저 봉헌품을 올리는 형식적인 단계가 아닙니다.{nl}진심을 담아 과거 과오가 있다면 여신 앞에서 뉘우치시기 바랍니다.				크리비 서브 마스터
QUEST_UNUSED_20151022_001126		수고하셨습니다. 여신상에 어디 부서진 곳은 없어 보이던가요?{nl}이제 당신은 한 단계 높은 경지에 다다르게 되었습니다.				크리비 서브 마스터
QUEST_UNUSED_20151022_001127		저는 다른 성직자분들과 함께 오르샤의 난민들을 계속 돌보고 있습니다.{nl}그런데 고약에 쓸 약재가 떨어졌군요.{nl}마침 그대의 승급을 시험해 볼 시기도 되었으니 작은 숙제를 드리겠습니다.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001128		제가 구하는 약재는 총 세 종류입니다.{nl}고사리숲 63_1과 63_2, 그리고 63_3에서 각각 약초를 구해오세요.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001129		첫번째 약초는 다음 지역으로 가는 출구 근처 나뭇잎더미를 헤치면 발견하실 수 있습니다.{nl}두번째 약초는 가장 아래쪽 지역에서 길쭉하게 자라고 있습니다.{nl}세번째 약초는 노란 꽃을 피우고 있으므로 가장 찾기 쉬우실 겁니다.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001130		엄밀히 말해 세 약초의 효능은 크게 다르지 않습니다.{nl}말씀드렸듯이 이건 그대의 승급시험을 겸하고 있다는 것을 잊지 마세요.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001131		어디 보자... 음. 틀림 없군요.{nl}이런 선행이 쌓여가면 그대의 신심이 깊어지는 것을 느끼게 될 겁니다.{nl}시험은 통과입니다. 앞으로는 보다 높은 단계의 프리스트 기술을 배우시게 될 겁니다.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001132		혹시 보코르가 되기를 희망하시는 분인가요?{nl}환영합니다. 보코르가 되기 위해서는 반드시 통과해야 하는 시험이 있지요.{nl}혹시 들어보셨나요?{nl}				보코르 서브 마스터
QUEST_UNUSED_20151022_001133		네! 보코르 인형을 만들어봐야 보코르라고 할 수 있죠.{nl}자, 이 제작서를 가지고 직접 인형을 만들어보세요.				보코르 서브 마스터
QUEST_UNUSED_20151022_001134		저는 물론이거니와 마스터 역시 옛날에는 주술인형을 만들고 입문하셨다고 하더라고요.{nl}나름 역사와 전통이 있는 의식이랍니다.				보코르 서브 마스터
QUEST_UNUSED_20151022_001135		이 정도면 제가 본 주술인형 중에서도 상급품에 속하네요!{nl}보코르의 소질이 있으신 것 같아요.{nl}이로써 당신도 보코르랍니다. 환영합니다!				보코르 서브 마스터
QUEST_UNUSED_20151022_001136		딥디르비가 되시길 희망한다고요? 물론 환영합니다.{nl}딥디르비의 길은 누구에게나 열려 있는 걸요.{nl}단지... 제 사소한 부탁 하나만 들어주신다면 말이죠.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001137		제 조각용 끌이 다 닳아버렸지 뭐에요.{nl}일단 아쉬운대로 근처 오르샤에서 대장장이언니에게 부탁을 해야할 것 같아요.{nl}그 분께 제 부탁이라고 말씀하시고 새로운 조각용 끌을 받아 가져다 주세요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001138		죄송합니다. 오르샤까지 수고 좀 부탁 드릴게요.{nl}전 저대로 이 곳에서 할 일이 있어서요.				대장장이
QUEST_UNUSED_20151022_001139		무슨일이시죠? 아... 그 당찬 딥디르비 소녀라면 기억하고 있습니다.{nl}하지만 이걸 어쩐다죠. 마침 만들어놓은 끌도, 새로 만들 재료도 모두 떨어진 상황이네요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001140		아쉬운대로 그쪽이 재료를 좀 구해주시면 좋겠네요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001141		고사리숲 63_3의 요노움들에게서 금속이 축적된 덩어리를 발견하실 때가 있을 겁니다.{nl}그걸 모아 가져다 주시면 쓸만한 조각용 끌을 만들어 보죠.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001142		고사리숲 63_3은 근처 광산이 있는 탓인지 몬스터 체내에 축적된 금속이 뭉치기도 하죠.{nl}요노움을 잡고 금속 덩어리를 모아오세요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001143		네. 이정도면 충분히 쓸만하군요.{nl}제작이 어려운 것은 아니니 잠시만 기다리시면 만들어드리지요.				대장장이
QUEST_UNUSED_20151022_001144		거의 다 되어 갑니다.				대장장이
QUEST_UNUSED_20151022_001145		자, 꽤 괜찮은 물건이니 한 동안은 버틸 수 있을 겁니다.{nl}이걸 건네 주세요.				대장장이
QUEST_UNUSED_20151022_001146		가끔은 오르샤에도 들르라고 전해 주세요.				대장장이
QUEST_UNUSED_20151022_001147		어머... 생각보다 오래 걸리신다 싶었더니 그런 수고를 하셨군요.{nl}감사합니다. 물론 지금부터 당신도 딥디르비랍니다.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001148		정말 실력이 많이 느셨군요! 누구에게 보여주더라도 손색이 없을 실력입니다.{nl}단지 저희 아버지의 기준으로는 아직도 부족하지 않을까 싶네요.{nl}한 단계 더 높은 경지에 다다를 수 있도록 제가 도와드리죠.				하이랜더 서브 마스터
QUEST_UNUSED_20151022_001149		좋습니다. 상급 기술을 배울 수 있는 실력이 되는지 한번 더 검증해보죠.{nl}기존의 기술을 얼마나 잘 다룰 수 있는지를 보겠습니다.{nl}아무 몬스터라도 좋으니 하이랜더의 기술을 써서 몬스터를 처치해보세요.				하이랜더 서브 마스터
QUEST_UNUSED_20151022_001150		하이랜더의 기술로 몬스터를 처치. 마지막 과제치고는 쉬운 편이라 생각되는데요?				하이랜더 서브 마스터
QUEST_UNUSED_20151022_001151		기존에 익혔던 기술들을 능숙하게 사용하시는 걸 보았습니다.{nl}상급 기술도 무리없이 배울 수 있겠군요.{nl}당신에게 기술을 전수한 것이 바로 저라고 누구에게든 자랑할 수 있을 것 같습니다.				하이랜더 서브 마스터
QUEST_UNUSED_20151022_001152		그 정도면 왠만한 마족들은 손쉽게 해치울 수 있겠네요.{nl}하지만 진짜 나쁜 녀석들을 없애기 위해서는 좀 더 정진하실 필요가 있습니다.{nl}제가 당신께 진정한 펠타스타의 길을 열어드리죠.				펠타스타 서브 마스터
QUEST_UNUSED_20151022_001153		하지만 최소한의 조건은 통과하셔야 합니다.{nl}카롤리스 샘터에서 채퍼리션을 해치우고 오세요.				펠타스타 서브 마스터
QUEST_UNUSED_20151022_001154		여태까지 보여주신 용맹을 생각하면 채퍼리션 정도는 손쉬운 상대일 것입니다.{nl}너무 걱정 마세요.				펠타스타 서브 마스터
QUEST_UNUSED_20151022_001155		훌륭합니다! 그 정도 실력이라면 제가 전우로 인정해드릴만하군요.{nl}마스터께는 따로 보고를 드려야겠군요.{nl}우선 저의 권한으로 당신께 펠타스타의 진정한 힘을 알려드리겠습니다.				펠타스타 서브 마스터
QUEST_UNUSED_20151022_001156		당신의 성장은 놀라울 정도로군요. 여타의 수련생들과는 무언가 다른 것이 느껴집니다.{nl}당신이라면 좀 더 강해질 수 있을 겁니다. 다음단계로 나아갈 준비는 되셨습니까?				하플라이트 마스터
QUEST_UNUSED_20151022_001157		제가 과거 상대하던 몬스터가 하나 있습니다.{nl}도중에 녀석은 도망쳐버렸고 저는 사람들이 피해를 입지 않을지 전전긍긍했지요.				하플라이트 마스터
QUEST_UNUSED_20151022_001158		최근 그 녀석이 다시 나타났다는 소문이 있습니다.{nl}제 대신 녀석의 숨통을 끊어 주시기 바랍니다.{nl}그리고 그 증표로 아직도 녀석의 몸에 박혀있을 제 창 끝을 가져다 주십시오.				하플라이트 마스터
QUEST_UNUSED_20151022_001159		고사리 수도원64_2에서 스파나스맨을 처치하시고 제 창 끝을 가져다 주세요.				하플라이트 마스터
QUEST_UNUSED_20151022_001160		확실히 그것은 제가 과거 녀석의 몸에 박아넣었던 창의 끝부분이 맞군요.{nl}녀석은 우리의 유능한 하플라이트가 쓰러뜨렸노라고 여기저기 자랑할 수 있겠습니다.				하플라이트 마스터
QUEST_UNUSED_20151022_001161		흠... 제법 강해졌구만?{nl}그 정도까지 수련을 해내다니, 다음 단계의 기술도 배울만 하겠어.				바바리안 서브 마스터
QUEST_UNUSED_20151022_001162		물론 그저 가르쳐 줄 수는 없지. 자네가 가진 힘을 증명해보게!{nl}신체에 아무런 강화효과를 받지 않는 상태에서 페레토리 구릉의 몬스터들을 처치하고 오게.				바바리안 서브 마스터
QUEST_UNUSED_20151022_001163		순수하게 그 검의 위력만을 증명해 보게.				바바리안 서브 마스터
QUEST_UNUSED_20151022_001164		자네 생각 이상으로 쓸만한 것 같군.{nl}이런 인재가 바바리안으로 들어온 것을 알면 형님도 기뻐하시겠어.				바바리안 서브 마스터
QUEST_UNUSED_20151022_001165		방패의 구조에 대해 제법 아는 친구로군.{nl}내게 배우러 얼마든지 찾아 와도 좋아.				로델레로 마스터
QUEST_UNUSED_20151022_001166		캐터프랙트라. {nl}자네에게 어울릴지는 잘 모르겠는데.				캐터프랙트 마스터
QUEST_UNUSED_20151022_001167		패기는 마음에 드는군.{nl}그렇다면 페레토리 구릉의 야수몬스터들을 처치해보게.				캐터프랙트 마스터
QUEST_UNUSED_20151022_001168		신수의 날 이후 늘어난 몬스터 중에 사람들에게 가장 피해를 주는게 야수형들이야.{nl}페레토리 구릉의 야수 몬스터를 처치하게.				캐터프랙트 마스터
QUEST_UNUSED_20151022_001169		당신의 실력이라면 좀 더 높은 경지의 크리비가 되실 수 있을 것 같군요.{nl}시험을 받아 보시겠습니까?				크리비 서브 마스터
QUEST_UNUSED_20151022_001170		이 보석을 가지고 페레토리 구릉으로 가세요.{nl}몬스터들에게 상처를 입힌 다음 보석의 힘으로 몬스터를 정화하시기 바랍니다.{nl}그러면 재가 남을텐데 그것을 모아오세요.				크리비 서브 마스터
QUEST_UNUSED_20151022_001171		안심하세요. 성스러운 불꽃의 기운이니 당신에게는 해가 없을 겁니다.				크리비 서브 마스터
QUEST_UNUSED_20151022_001172		이것으로 당신의 실력이 입증되었군요.{nl}크리비로서 마지막 단계에 들어서신 것을 축하드립니다.{nl}앞으로도 그 힘으로 힘겨운 이들에게 도움을 주시기 바랍니다.				크리비 서브 마스터
QUEST_UNUSED_20151022_001173		이제 먼 곳으로 떠나 여신의 은총을 퍼뜨리셔야 할 때가 온 것 같군요.{nl}하지만 여행길에는 어떤 위험이 도사리고 있는지 모르는 법.{nl}지금같은 시기에는 더욱 그렇지요.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001174		그대가 최소한 스스로는 지킬 수 있는지 보여주시기 바랍니다.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001175		페레토리 구릉의 몬스터 정도면 적당하겠군요.{nl}그들을 소탕하고 돌아오시기 바랍니다.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001176		신성에 기대어서만은 사람들을 구제할 수 없는 법이지요.{nl}때로는 무력을 필요로 할 때도 있습니다.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001177		그 정도라면 먼 여행을 떠나셔도 무리는 없겠군요.{nl}프리스트로서의 마음가짐을 항상 가슴에 새기고 그대의 사명을 다 하십시오.				프리스트 서브 마스터
QUEST_UNUSED_20151022_001178		보코르의 다음 단계로 나아가실 때가 되었군요.{nl}이제 입문자가 아닌, 같은 길을 걸어나가는 동료로서 당신의 미래를 점쳐보고 싶네요.{nl}흉포한 몬스터를 상대하시고 그들이 떨구는 카드를 가져다 주세요.				보코르 서브 마스터
QUEST_UNUSED_20151022_001179		마스터께서는 누가 어떤 카드를 가져오게 될지는 모두 정해져 있다고 하시지요.{nl}하지만 제 능력으로는 당신이 어떤 카드를 가져오실지 알 수가 없네요.				보코르 서브 마스터
QUEST_UNUSED_20151022_001180		빛과 구원, 징악. 저주받은 보석...? 제가 읽어낼 수 있는 단어는 이 정도로군요.{nl}모두 좀처럼 나오지 읽히지 않는 단어들입니다. 특히 마지막 단어가 의미심장하네요.				보코르 서브 마스터
QUEST_UNUSED_20151022_001181		해석은 당신의 몫입니다.{nl}하지만 당신은 다른 사람들과는 다른, 커다란 운명을 짊어진 분 같군요.{nl}부디 당신에게 내려진 사명을 다하실 수 있기를 바라겠습니다.				보코르 서브 마스터
QUEST_UNUSED_20151022_001182		테슬라님과 마지막으로 헤어지던 때, 제게 숙제를 내 주신 것이 있지요.{nl}특별한 조각을 깎아내야 하는 과제인데 재료부터가 만만치가 않아요.{nl}믿을만한 사람에게 부탁하라고 말씀하셨는데 마침 당신이 계시네요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001183		고사리 수도원64_2에서 스파나스맨이란 몬스터를 마주치실 수 있을 거에요.{nl}녀석의 머리에 난 그 뿔을 가져다 주세요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001184		직접 구하라고 하시지 않고 믿을만한 사람에게 부탁하라고 하시다니...{nl}제 인망도 같이 시험하시려는 게 아닐까요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001185		가져 오셨군요. 제가 부탁드린 재료가 틀림 없네요.{nl}약속대로 딥디르비의 상위 기술을 가르쳐 드릴게요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001186		사두의 길에 입문하시겠습니까?{nl}좋습니다. 비록 저는 유체만이 이곳에 있어 정식 시험을 치루기는 무리입니다만...{nl}나름의 방식으로 당신을 시험해 보겠습니다.				사두 마스터
QUEST_UNUSED_20151022_001187		저의 기운을 당신에게 전달해 드릴 것입니다.{nl}페레토리 구릉에서 그 기운을 사용하시면 몬스터의 영혼 일부가 섞이게 됩니다.{nl}그 몬스터를 처치하시고 영혼을 흡수한 다음 돌아오세요.				사두 마스터
QUEST_UNUSED_20151022_001188		아직 몬스터의 영혼이 충분치 않은 것 같군요.{nl}아직은 사두의 길을 열어드릴 수 없습니다.				사두 마스터
QUEST_UNUSED_20151022_001189		당신에게 충만한 영혼의 힘이 느껴집니다...{nl}당신의 능력은 잘 알겠습니다. 사두로의 입문을 축하드리겠습니다.{nl}유체로나마 당신에게 사두의 기술을 알려드리지요.				사두 마스터
QUEST_UNUSED_20151022_001190		팔라딘에 입문하시려는 건가요?{nl}다른 성직과는 다릅니다. 팔라딘이 되려면 그만큼 강한 힘이 뒷받침 되어야합니다.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001191		좋습니다. 자신만만하시군요.{nl}그럼 시험해볼까요? 페레토리 구릉의 몬스터들을 처치하고 오세요.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001192		우리 팔라딘은 마족과의 싸움에서 최전선에 서 있는 자들입니다.{nl}어중간한 실력으로는 뜻이 좋더라도 금방 불행한 일을 당하고 말겁니다.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001193		기대 이상으로 잘 해 주셨네요.{nl}약속대로 마스터를 대신해서 당신을 팔라딘으로 임명하겠습니다.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001194		어느덧 마지막 시험을 치룰 때가 온 것 같습니다.{nl}여태까지 쌓은 능력을 보여주실 준비가 되었습니까?				하플라이트 마스터
QUEST_UNUSED_20151022_001195		압시메스티 교차로는 옛부터 하플라이트의 마지막 시험 무대였습니다.{nl}당신의 많은 선배들이 그곳에서 창이 부러질 때까지 몬스터와 사투를 벌이곤 했습니다.{nl}그들의 부러진 창을 모아 오는 것으로 당신의 마지막 자격을 심사해보죠.				하플라이트 마스터
QUEST_UNUSED_20151022_001196		이 시험은 단순히 당신의 강함만을 측정하기 위함은 아닙니다.{nl}당신이 도달하려는 경지는 쉽게 다다를 수 없는 단계입니다.{nl}다른 이들이 그것을 위해 어떤 노력을 했는지 확인하라는 의미도 포함하고 있습니다.				하플라이트 마스터
QUEST_UNUSED_20151022_001197		수고하셨습니다. 훗날 새로운 하플라이트는 당신의 흔적을 좇겠지요.{nl}당신은 이미 대가의 경지이지만 혹시나 부족한 것이 있으면 저를 찾아 주시길.				하플라이트 마스터
QUEST_UNUSED_20151022_001198		그 정도면 어엿한 로델레로라 할 수 있겠어.{nl}그러나 진정 강해지기 위해서는 때로는 자신의 강점을 포기할 줄도 알아야지.				로델레로 마스터
QUEST_UNUSED_20151022_001199		준비는 된 것 같군.{nl}그렇다면 방패를 사용하지 않고 압시메스티 교차로의 몬스터를 해치우고 와.{nl}아니, 애초에 착용하지 않은 상태에서 몬스터를 해치우고 오는 게 좋겠군.				로델레로 마스터
QUEST_UNUSED_20151022_001200		방패는 로델레로의 가장 듬직한 전우지.{nl}하지만 전사라면 스스로 강해야할 필요가 있다.				로델레로 마스터
QUEST_UNUSED_20151022_001201		다시 한 번 그 가능성을 확인할 수 있었다.{nl}알다시피 내 가르침은 엄격하니까 단단히 각오해야 할 거야.				로델레로 마스터
QUEST_UNUSED_20151022_001202		어때, 이제 찌른다는 게 뭔지 알겠나?{nl}그럼 다음 단계로 나아가기 위한 준비를 해보자.				캐터프랙트 마스터
QUEST_UNUSED_20151022_001203		어떤 적도 꿰뚫을 수 있는 창이 자네의 팔이라고 치지.{nl}그렇다면 다리는 단연 기동력을 제공해주는 자네의 컴패니언이라고 할 수 있을걸세.{nl}컴패니언에 올라탄 채로 압시메스티 교차로의 적들을 토벌하고 오게.				캐터프랙트 마스터
QUEST_UNUSED_20151022_001204		컴패니언을 타고 싸우는 전투에 익숙해지지 않는다면 캐터프랙트는 포기하게.{nl}설마 멀미하는 것은 아니겠지?				캐터프랙트 마스터
QUEST_UNUSED_20151022_001205		자네라면 추후 왕국이 재건된 후에 훌륭한 기병이 될 수 있겠어.{nl}물론 그때까지 내가 가르쳐 주는 기술을 이용해서 자네의 사명을 다하게.				캐터프랙트 마스터
QUEST_UNUSED_20151022_001206		지난 과제들도 무난히 통과한데다 성장속도도 무시못할 수준이군요.{nl}당신이라면 보코르의 마지막 단계에 들어서도 괜찮을 것 같아요!				보코르 서브 마스터
QUEST_UNUSED_20151022_001207		아니아니, 너무 미리부터 좋아하진 마세요.{nl}이제는 그간 배운 기술을 응용해 보는 시험을 치룰 차례랍니다.{nl}압시메스티 교차로에서 몬스터들을 처치해 보세요.				보코르 서브 마스터
QUEST_UNUSED_20151022_001208		배우신 기술들은 전투에 매우 유용하게 쓰이곤 하죠.{nl}압시메스티 교차로라면 크게 위험하진 않을 거에요.				보코르 서브 마스터
QUEST_UNUSED_20151022_001209		수고하셨어요!{nl}이제 보코르로서의 진짜 여정이 시작되었군요.				보코르 서브 마스터
QUEST_UNUSED_20151022_001210		간신히 테슬라님과 연락이 닿았어요!{nl}당신에 대해서 편지에 적었더니 기대되는 인재라고 하시더군요.{nl}그런 의미에서 딥디르비의 마지막 단계에 도전해보시는 건 어떨까요?				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001211		그럼 저희에게 들어온 청원을 수행하는 것으로 승급시험을 대신하도록 해보죠.{nl}여신상을 보수해 달라는 청원인데 여기에 쓰일 향유의 재료가 필요하답니다.{nl}수로교 지역에서 아슈롱의 기름덩어리를 모아다 주세요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001212		아슈롱의 기름덩어리를 모아다 주시면 제가 정제하여 향유로 만들거에요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001213		일단 준비단계는 마쳤네요.{nl}잠시만 기다리시면 제가 향유를 만들어드릴게요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001214		향유가 다 만들어졌어요.{nl}이제 이 향유를 가지고 오르샤와 페디미안에 있는 바카리네 여신상을 보수해주세요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001215		여신상의 힘을 사용하면 페디미안까지 쉽게 이동할 수 있다고들 하네요.{nl}조금이라도 시간을 줄일 수 있겠네요.				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001216		깨끗한 여신상을 보는 것만으로도 두 도시 시민들에게 희망이 샘솟지 않을까요?				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001217		먼 길 다녀오느라 고생하셨어요. 테슬라님도 분명 칭찬하실거에요.{nl}당신은 앞으로도 굉장해지실 것 같아요.{nl}이거, 딥디르비로서 라이벌이 생겼는걸요?				딥디르비 서브 마스터
QUEST_UNUSED_20151022_001218		마침 잘 오셨습니다.{nl}압시메스티 교차로의 붉은 트리암불로가 크게 불어나 주민들을 위협하고 있다고 합니다.{nl}당신이 진정한 사두로서 한 걸음 더 내딛고 싶다면 당신의 능력을 베푸십시오.				사두 마스터
QUEST_UNUSED_20151022_001219		다음 시험은 보다 강한 몬스터들을 상대해보죠.{nl}준비는 되셨습니까?				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001220		이 오래된 성물을 가지고 큰아귀 길로 가세요.{nl}위쪽 막다른 곳에 버려진 제단에 성물을 반응시키면 몬스터들이 나올 겁니다.{nl}그 다음은 말씀드리지 않아도 아시겠지요?				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001221		버려진 제단은 큰아귀 길 위쪽 막다른 지점에 있습니다.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001222		수고하셨어요. 보다 높은 경지로 또 한 발을 내딛으셨군요.{nl}마스터로써 중요 임무 중인 저희 삼촌께도 보여드렸으면 싶은 실력이시네요.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001223		그 사이 실력이 또 일취월장하셨군요. 이 정도라면 저희 삼촌도 놀라겠는걸요.{nl}아무래도 마지막 단계로 나아가기 위한 시험을 치르셔야겠어요.{nl}그 실력을 증명할 방법이 필요하겠군요.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001224		마침 적당한 상대를 알고 있지요.{nl}테넌츠 농장에서 가이갈라스라는 몬스터가 날뛰는 모양이에요.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001225		보여주신 행적만으로도 그 실력은 짐작이 가네요.{nl}하지만 승급을 위해서는 보다 명확한 확인이 필요해서요.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001226		솔직히 좀 위험하지 않을까 싶었는데 제가 당신의 실력을 오판한 모양이군요.{nl}대단하군요. 당신이라면 누구라도 가장 높은 경지의 팔라딘으로 인정할 겁니다.				팔라딘 서브 마스터
QUEST_UNUSED_20151022_001232		이 일은 마을에 알리고 마을 사람들과 알아봐야겠어요.{nl}우리 마을 일로 외지인을 위험에 빠뜨릴 수는 없죠.				드루이드 레야
QUEST_UNUSED_20151022_001242		이 와중에 가장 급한 문제는 온순했던 페릿 부족마저 난폭하게 돌변했다는 걸세.{nl}힘을 합쳐 납치 당한 라다 여신을 구하고 싶지만 난폭해진 페릿 부족이 마을을 습격하고{nl}식량까지 훔쳐가는 통에 마을 사람들 모두 괴로워하고 있네.{nl}아무래도 이 근처 페릿 부족 근거지에 마족이 세운 마족 토템이 페릿 부족을 난폭하게 만든 것 같네..{nl}				마을 촌장
QUEST_UNUSED_20151022_001243		페릿이 마족토템을 지키는 탓에 우리 힘으로는 마족 토템을 부수기가 어렵네.{nl}마을을 위해서 자네가 마족 토템을 부숴 줄 수 있겠나?{nl}그렇다면 우리도 라다 여신을 구하기 위해 힘을 보탤 수 있을 것 같네.{nl}빛과 함께 마을을 구하러 온 자네라면 분명 페릿 부족 역시 되돌릴 수 있을걸세.				마을 촌장
